"titleID","titleName","titleSort","authorFirstName","authorLastName","publicationDate","imageName","categoryID","shortDescription","urlPKDweb","active","createdAt","updatedAt"
71,"The Dark Haired Girl","dark haired girl, the","Philip K.","Dick","1988-05-31 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-18 23:30:59.662-04","2020-10-18 23:30:59.662-04"
72,"In Pursuit of Valis: Selections from the Exegesis","in pursuit of valis: selections from the exegesis","Philip K.","Dick","1991-08-31 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-19 09:54:06.752-04","2020-10-19 09:54:06.752-04"
73,"The Shifting Realities of Philip K. Dick: Selected Literary and Philosophical Writings","shifting realities of philip k. dick: selected literary and philosophical writings, the","Philip K.","Dick","1995-01-23 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-19 09:59:23.611-04","2020-10-19 09:59:23.611-04"
74,"The Selected Letters of Philip K. Dick 1980-82","selected letters of philip k. dick 1980-82, the","Philip K.","Dick","2010-05-31 20:00:00-04",NULL,3,NULL,NULL,True,"2020-10-19 10:35:05.54-04","2020-10-19 10:48:08.15-04"
75,"The Selected Letters of Philip K. Dick 1974","selected letters of philip k. dick 1974, the","Philip K.","Dick","1990-12-31 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-19 10:37:52.142-04","2020-10-19 10:47:49.799-04"
76,"The Selected Letters of Philip K. Dick 1975-1976","selected letters of philip k. dick 1975-1976, the","Philip K.","Dick","1992-12-31 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-19 10:40:55.936-04","2020-10-19 10:40:55.936-04"
77,"Divine Invasions: A Life of Philip K. Dick","divine invasions: a life of philip k. dick","Lawrence","Sutin","1989-12-22 19:00:00-05","https://philipdick.com/images/covers/DivineInvasions.jpg",4,"With thirty-eight books currently in print and seven of his novels and short stories adapted into blockbuster films, Philip K. Dick is recognized worldwide as one of our time's greatest and most influential novelists. Lawrence Sutin's Divine Invasions, acknowledged by the Dick family as the official Philip K. Dick biography, illuminates the life of the man who loosed the bonds of the science-fiction genre and profoundly influenced such writers as Pynchon, Delillo, David Foster Wallace, and Jonathan Lethem. Absorbing, beautifully written, and profoundly revealing, Divine Invasions is a must-read for Dick fans and for all fans of contemporary fiction and film.",NULL,True,"2020-10-19 12:11:44.826-04","2020-10-23 10:04:54.992-04"
78,"Counterfeit Worlds: Philip K. Dick on Film","counterfeit worlds: philip k. dick on film","Brian J.","Robb","2006-06-30 20:00:00-04","https://philipdick.com/images/covers/CounterfeitWorlds.jpg",4,"From Blade Runner to the forthcoming A Scanner Darkly (starring Keanu Reeves), via Total Recall, Screamers, Impostor, Paycheck and Tom Cruise in Minority Report, the legacy of science fiction writer Philip K. Dick has revolutionised Hollywood. Counterfeit Worlds is the definitive history of all the adaptations of Dick's work, not only the films but also TV series, radio plays, even operas and computer games. Beginning with a concise biography of Dick, acclaimed writer Brian J. Robb looks at the evolution and production of each project in depth, along the way uncovering a wealth of new information, including the stories behind the fascinating unmade film Ubik (with a screenplay by Dick himself), and the stillborn sequels to Total Recall and the legendary Blade Runner.",NULL,True,"2020-10-19 12:19:22.039-04","2020-10-23 10:02:10.659-04"
79,"Adjustment Team","adjustment team","Philip K.","Dick","2015-11-30 19:00:00-05",NULL,12,NULL,NULL,True,"2020-10-19 13:35:49.82-04","2020-10-19 14:25:13.336-04"
80,"Upon The Dull Earth","upon the dull earth","Philip K.","Dick",NULL,NULL,12,NULL,NULL,True,"2020-10-19 14:19:41.072-04","2020-10-19 14:25:35.363-04"
81,"Minority Report","minority report","Philip K.","Dick","2002-11-30 19:00:00-05",NULL,2,NULL,NULL,True,"2020-10-19 14:36:49.376-04","2020-10-19 14:36:49.376-04"
82,"The Minority Report","minority report, the","Philip K.","Dick","2002-05-13 19:00:00-05",NULL,12,NULL,NULL,False,"2020-10-19 14:40:43.021-04","2020-10-20 10:26:57.065-04"
83,"Second Variety","second variety","Philip K.","Dick",NULL,NULL,12,NULL,NULL,True,"2020-10-19 14:49:36.562-04","2020-10-19 14:49:36.562-04"
84,"Second Variety and Other Stories","second variety and other stories","Philip K.","Dick","2011-05-02 20:00:00-04",NULL,2,NULL,NULL,True,"2020-10-19 14:53:36.02-04","2020-10-19 14:53:36.02-04"
85,"The Philip K. Dick Collection","philip k. dick collection, the","Philip K.","Dick","2020-09-08 20:00:00-04",NULL,2,NULL,NULL,True,"2020-10-19 15:21:08.401-04","2020-10-19 15:21:08.401-04"
86,"An Index to the Selected Letters of Philip K. Dick: 1974","index to the selected letters of philip k. dick: 1974, an","David","Hyde","2013-04-10 20:00:00-04","https://philipdick.com/images/covers/AnIndexToTheSelectedLettersOfPhilipKDick1974.jpg.jpg",4,"ALTERNATE REALITY, TRUTH OR MADNESS?

“… I have no theory, but in any case all I did was rap on and on about how the Holy Spirit (die heilige Geist) had recently taken me over (true, would I lie to you, Ursula?) and had bidden me turn against the Communist beast Fascists who would enslave the world, exactly like our own Roman rulers… To me, on the basis of my recent religious experience, I feel (in all honesty) that we are in Rome again, with the early Christians persecuted and fighting for freedom.”
- Philip K. Dick to Ursula K. Le Guin, April 14th 1974. Letter 47 in THE SELECTED LETTERS OF PHILIP K. DICK: 1974

Thus did PKD first announce his visionary experiences of 1974 to the world, opening up a puzzle and a quest for philosophers and seekers of all stripes to find the truth in the voluminous speculation that followed from this letter. From pink beams and strange dreams to orthogonal time and tutelary entities from the stars, it all begins in THE SELECTED LETTERS OF PHILIP K. DICK: 1974

This INDEX TO THE SELECTED LETTERS 74 is intended as an aid to the students of Philip K. Dick’s life and the scholars whose task it is to sort it all out. With the recently published EXEGESIS OF PHILIP K. DICK (2011), THE SELECTED LETTERS OF PHILIP K. DICK: 1974 (1991) and this INDEX TO SL 74 (2013) scholars can now more closely study this critical year in the life of the 21st Century’s most acclaimed writer",NULL,True,"2020-10-19 15:22:42.709-04","2020-10-23 10:22:00.662-04"
87,"The Selected Letters of Philip K. Dick 1972-1973","selected letters of philip k. dick 1972-1973, the","Philip K.","Dick","1994-01-31 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-19 15:26:00.787-04","2020-10-19 15:26:00.787-04"
88,"The Selected Letters of Philip K. Dick, 1977-1979","selected letters of philip k. dick, 1977-1979, the","Philip K.","Dick","1993-03-31 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-19 15:27:28.939-04","2020-10-19 15:27:57.563-04"
89,"The Selected Letters of Philip K. Dick 1938-1971","selected letters of philip k. dick 1938-1971, the","Philip K.","Dick","1997-03-09 19:00:00-05",NULL,3,NULL,NULL,True,"2020-10-19 16:09:45.968-04","2020-10-19 16:09:45.968-04"
90,"The Philip K. Dick Collection","philip k. dick collection, the","Philip K.","Dick","2009-10-14 20:00:00-04",NULL,1,NULL,NULL,True,"2020-10-19 16:14:02.9-04","2020-10-19 16:14:02.9-04"
91,"Five Novels of the 1960s & 70s","five novels of the 1960s & 70s","Philip K.","Dick","2008-07-30 20:00:00-04",NULL,1,NULL,NULL,True,"2020-10-20 11:10:38.102-04","2020-10-20 11:10:38.102-04"
92,"Four Novels of the 1960s","four novels of the 1960s","Philip K.","Dick","2007-05-09 20:00:00-04",NULL,1,NULL,NULL,True,"2020-10-20 11:12:00.648-04","2020-10-20 11:12:00.648-04"
93,"VALIS and Later Novels","valis and later novels","Philip K.","Dick","2009-07-29 20:00:00-04",NULL,1,NULL,NULL,True,"2020-10-20 11:13:18.082-04","2020-10-20 11:13:34.856-04"
94,"The Divine Madness of Philip K. Dick","divine madness of philip k. dick, the","Kyle","Arnold","2016-05-31 20:00:00-04","https://philipdick.com/images/covers/TheDivineMadness.jpg",4,"Widely recognized as one of the most imaginative writers of the 20th century, Philip K. Dick helped to shape science fiction into the popular genre it is today. His stories, renowned for their sophisticated philosophical themes and startling portrayals of simulated realities, inspired numerous television and film adaptations, including the 1982 cult classic Blade Runner.

Dick's personal life took on an otherwordly quality when, in 1974, he famously had a series of bizarre visions. According to Dick, a pink light beamed psychic information into his brain, awakening memories of a past life as an ancient Christian revolutionary and granting him contact with time-traveling extraterrestrials. He witnessed scenes from ancient Rome superimposed over his California neighborhood, and warned local police he was a dangerous machine programmed to self-destruct. After the visions faded, Philip K. Dick spent the rest of his life trying to fathom the meaning of what he called his ""divine madness."" Was it schizophrenia? Or a genuine religious experience?

In The Divine Madness of Philip K. Dick, clinical psychologist Kyle Arnold probes the fascinating mystery of Dick's heart and mind, and shows readers how early traumas opened Dick to profound spiritual experiences while also predisposing him toward drug dependency and violence. Disputing the myth that Dick had schizophrenia, Arnold contends that Dick's well-known paranoia was caused by his addiction to speed. Despite Dick's paranoia, his divine madness was not a sign of mental illness, but a powerful spiritual experience conveyed in the images of science fiction.",NULL,True,"2020-10-23 09:27:30.652-04","2020-10-23 10:18:10.447-04"
95,"Ganymedean Slime Mold On Tour and Other Things: Essays and Stories, 1988-2015","ganymedean slime mold on tour and other things: essays and stories, 1988-2015","Lord","Running Clam","2016-04-08 20:00:00-04","https://philipdick.com/images/covers/GanymedeanSlimeMoldOnTour.jpg",4,"It's the umpteenth decade in the War On Drugs. The 1980s. Ronald Raygun is dozing off and Nancy just says No. Into the fray inches the Ganymedean Slime Mold, armed with telepathic power and not enough weed. Will the forces of righteousness prevail? Or will the dark denizens of the Government squash this alien dopesucker? A true story. Inspired by Philip K. Dick and challenged by Hunter S. Thompson, Lord Running Clam here presents his stories and essays written over the last thirty years, including the best from the zines ‘No Bullsheet’ and ‘For Dickheads Only’-and everything he wrote on Philip K. Dick for ‘PKD OTAKU’.",NULL,True,"2020-10-23 09:45:19.815-04","2020-10-23 10:19:21.872-04"
96,"Future Imperfect: Philip K. Dick at the Movies","future imperfect: philip k. dick at the movies","Jason P.","Vest","2007-06-29 20:00:00-04","https://philipdick.com/images/covers/FutureImperfect.jpg",4,"Philip K. Dick was one of the most incisive, subversive, and entertaining American authors of the last half of the twentieth century. The cinematic adaptations of Dick’s fiction have generated so much interest since Blade Runner’s 1982 release that a comprehensive assessment of these films is necessary. Future Imperfect is the only book to examine the first eight cinematic adaptations of Dick’s fiction in light of their literary sources.
 
In this book, Jason P. Vest explores how filmmakers as diverse as Ridley Scott, Paul Verhoeven, Steven Spielberg, and Richard Linklater have each, in their turn, expanded, extrapolated, and diverged from Dick’s fiction when translating its powerful and challenging insights to the silver screen. Future Imperfect gauges how well the film adaptations of Dick’s work have captured his unique vision of the human future and how deeply his storytelling abilities have influenced the development of science fiction movies from Blade Runner to the present day.",NULL,True,"2020-10-23 09:47:27.027-04","2020-10-23 10:18:41.73-04"
